Participant_Info_Consent.block_1/Consent,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,dissent.started,dissent.stopped,Exclusion_Criteria_1.block_1/Mental_health_conditions,exclusion.started,exclusion.stopped,GroupAllocation.started,GroupAllocation.stopped,group,survey_demographics_IU.block_1/Sex,survey_demographics_IU.block_1/Age,survey_demographics_IU.block_1/Education,survey_demographics_IU.block_1/Ethnicity,survey_demographics_IU.block_1/Politics,survey_demographics_IU.block_1/IU_scale.q1,survey_demographics_IU.block_1/IU_scale.q2,survey_demographics_IU.block_1/IU_scale.q3,survey_demographics_IU.block_1/IU_scale.q4,survey_demographics_IU.block_1/IU_scale.q5,survey_demographics_IU.block_1/IU_scale.q6,survey_demographics_IU.block_1/IU_scale.q7,survey_demographics_IU.block_1/IU_scale.q8,survey_demographics_IU.block_1/IU_scale.q9,survey_demographics_IU.block_1/IU_scale.q10,survey_demographics_IU.block_1/IU_scale.q12,survey_demographics_IU.block_1/IU_scale.q11,Instructions.started,Instructions.stopped,Example.started,Example.stopped,Trials.started,Trials.stopped,Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,Feedback.started,Feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,useRows,Scenarios.block_1/Expert Panel,Scenarios.block_1/Team Tension,Scenarios.block_1/Networking Gaffe,Scenarios.block_1/Viral Oversight,Scenarios.block_1/question16,ProgressBar.started,ProgressBar.stopped,feedback_14.started,feedback_14.stopped,press_spacebar.keys,press_spacebar.rt,press_spacebar.duration,show_feedback_low.thisRepN,show_feedback_low.thisTrialN,show_feedback_low.thisN,show_feedback_low.thisIndex,show_feedback_low.ran,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_1,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_2,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_3,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_4,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_5,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_6,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_7,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_8,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_9,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_10,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_11,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_12,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_13,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_14,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_15,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_16,ETMS_survey_end.block_1/Epistemic Trust Mistrust.Row 17,ETMS_survey_end.block_1/Epistemic Trust Mistrust.Row 18,ETMS_survey_end.block_1/Feedback check.Q3,ETMS_survey_end.block_1/StudyPurpose,ETMS_survey_end.block_1/WereYouEvaluated,ETMS_survey_end.block_1/Feedback_interpretation,ETMS_survey_end.block_1/Suspicious,ETMS_survey_end.block_1/Disclosure,ETMS_survey_end.block_1/Data use,End.started,End.stopped
,{{PROLIFIC_ID}},0,2026-09-07_09h55.17.838,Reading the Room,2026.1.3,Win32,144.9275362,6a07d9e7902dfd92616b2406,6a8d07dd262e1077153a9ddf,6a9dfd2a6ff74fc277541c5e,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,289.9598,294.9937,1,5034,0.312962991,0.177777785,1,0,0,four_blue_stars,294.9942,295.9937,0,2,2,60,1,number,images/4yellowCrosses.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},0,2026-09-07_09h55.17.838,Reading the Room,2026.1.3,Win32,144.9275362,6a07d9e7902dfd92616b2406,6a8d07dd262e1077153a9ddf,6a9dfd2a6ff74fc277541c5e,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,295.9944,298.4032,1,2409,-0.345370363,0.215740734,1,0,0,one_red_dot,298.4032,299.4034,0,3,3,9,1,number,images/1redDot.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},0,2026-09-07_09h55.17.838,Reading the Room,2026.1.3,Win32,144.9275362,6a07d9e7902dfd92616b2406,6a8d07dd262e1077153a9ddf,6a9dfd2a6ff74fc277541c5e,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,299.4038,301.7781,1,2374,-0.093518504,0.224074063,1,0,0,two_yellow_triangles,301.7782,302.7783,0,4,4,30,1,number,images/2yellowStars.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},0,2026-09-07_09h55.17.838,Reading the Room,2026.1.3,Win32,144.9275362,6a07d9e7902dfd92616b2406,6a8d07dd262e1077153a9ddf,6a9dfd2a6ff74fc277541c5e,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,302.7786,306.7987,1,4020,-0.065740727,0.24166667,1,0,0,two_yellow_triangles,306.7989,307.7989,0,5,5,16,1,number,images/2blueCrosses.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},0,2026-09-07_09h55.17.838,Reading the Room,2026.1.3,Win32,144.9275362,6a07d9e7902dfd92616b2406,6a8d07dd262e1077153a9ddf,6a9dfd2a6ff74fc277541c5e,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,307.7994,310.3615,1,2562,0.381481453,0.2574074,1,0,0,four_blue_stars,310.3616,311.3617,0,6,6,63,1,number,images/4yellowTriangles.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},0,2026-09-07_09h55.17.838,Reading the Room,2026.1.3,Win32,144.9275362,6a07d9e7902dfd92616b2406,6a8d07dd262e1077153a9ddf,6a9dfd2a6ff74fc277541c5e,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,64:128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},0,2026-09-07_09h55.17.838,Reading the Room,2026.1.3,Win32,144.9275362,6a07d9e7902dfd92616b2406,6a8d07dd262e1077153a9ddf,6a9dfd2a6ff74fc277541c5e,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,311.368,313.9378,0,2570,-0.095370328,0.187962956,1,0,0,two_yellow_triangles,313.9382,314.9376,0,0,0,16,1,colour,images/2blueCrosses.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},0,2026-09-07_09h55.17.838,Reading the Room,2026.1.3,Win32,144.9275362,6a07d9e7902dfd92616b2406,6a8d07dd262e1077153a9ddf,6a9dfd2a6ff74fc277541c5e,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,314.938,317.5,0,2562,0.372222194,0.24537037,1,0,0,four_blue_stars,317.5,318.5,0,1,1,58,1,colour,images/4redStars.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},0,2026-09-07_09h55.17.838,Reading the Room,2026.1.3,Win32,144.9275362,6a07d9e7902dfd92616b2406,6a8d07dd262e1077153a9ddf,6a9dfd2a6ff74fc277541c5e,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,318.5003,320.8472,0,2347,0.078703704,0.192592586,1,0,0,three_green_crosses,320.8472,321.847,0,2,2,42,1,colour,images/3redStars.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},0,2026-09-07_09h55.17.838,Reading the Room,2026.1.3,Win32,144.9275362,6a07d9e7902dfd92616b2406,6a8d07dd262e1077153a9ddf,6a9dfd2a6ff74fc277541c5e,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,321.8472,325.0627,1,3216,-0.344444452,0.237962952,1,0,0,one_red_dot,325.063,326.0624,0,3,3,59,1,colour,images/4redTriangles.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
