Participant_Info_Consent.block_1/Consent,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,dissent.started,dissent.stopped,Exclusion_Criteria_1.block_1/Mental_health_conditions,exclusion.started,exclusion.stopped,GroupAllocation.started,GroupAllocation.stopped,group,survey_demographics_IU.block_1/Sex,survey_demographics_IU.block_1/Age,survey_demographics_IU.block_1/Education,survey_demographics_IU.block_1/Ethnicity,survey_demographics_IU.block_1/Ethnicity-Comment,survey_demographics_IU.block_1/Politics,survey_demographics_IU.block_1/IU_scale.q1,survey_demographics_IU.block_1/IU_scale.q2,survey_demographics_IU.block_1/IU_scale.q3,survey_demographics_IU.block_1/IU_scale.q4,survey_demographics_IU.block_1/IU_scale.q5,survey_demographics_IU.block_1/IU_scale.q6,survey_demographics_IU.block_1/IU_scale.q7,survey_demographics_IU.block_1/IU_scale.q8,survey_demographics_IU.block_1/IU_scale.q9,survey_demographics_IU.block_1/IU_scale.q10,survey_demographics_IU.block_1/IU_scale.q11,survey_demographics_IU.block_1/IU_scale.q12,Instructions.started,Instructions.stopped,Example.started,Example.stopped,Trials.started,Trials.stopped,Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,Feedback.started,Feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,useRows,Scenarios.block_1/Expert Panel,Scenarios.block_1/Team Tension,Scenarios.block_1/Networking Gaffe,Scenarios.block_1/Viral Oversight,Scenarios.block_1/question16,ProgressBar.started,ProgressBar.stopped,feedback_50.started,feedback_50.stopped,press_spacebar_2.keys,press_spacebar_2.rt,press_spacebar_2.duration,show_feeback_hi.thisRepN,show_feeback_hi.thisTrialN,show_feeback_hi.thisN,show_feeback_hi.thisIndex,show_feeback_hi.ran,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_1,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_2,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_3,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_4,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_5,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_6,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_7,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_8,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_9,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_10,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_11,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_12,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_13,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_14,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_15,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_16,ETMS_survey_end.block_1/Epistemic Trust Mistrust.Row 17,ETMS_survey_end.block_1/Epistemic Trust Mistrust.Row 18,ETMS_survey_end.block_1/Feedback check.Q1,ETMS_survey_end.block_1/Feedback check.Q2,ETMS_survey_end.block_1/Feedback check.Q3,ETMS_survey_end.block_1/StudyPurpose,ETMS_survey_end.block_1/WereYouEvaluated,ETMS_survey_end.block_1/Feedback_interpretation,ETMS_survey_end.block_1/Suspicious,ETMS_survey_end.block_1/Disclosure,ETMS_survey_end.block_1/Data use,End.started,End.stopped
,{{PROLIFIC_ID}},11,2026-09-06_22h14.06.095,Reading the Room,2026.1.3,Win32,59.88023952,66df3fb1714165680f1d4164,6a8d07dd262e1077153a9ddf,6a9e0f9891a7633d0090a3ea,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,268.9244,271.6404,0,2716,0.091145833,0.2265625,1,0,0,three_green_crosses,271.6406,272.6402,0,2,2,8,1,number,images/1redCross.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},11,2026-09-06_22h14.06.095,Reading the Room,2026.1.3,Win32,59.88023952,66df3fb1714165680f1d4164,6a8d07dd262e1077153a9ddf,6a9e0f9891a7633d0090a3ea,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,272.6409,274.707,0,2066,0.091145833,0.2265625,1,0,0,three_green_crosses,274.7071,275.7068,0,3,3,56,1,number,images/4redCrosses.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},11,2026-09-06_22h14.06.095,Reading the Room,2026.1.3,Win32,59.88023952,66df3fb1714165680f1d4164,6a8d07dd262e1077153a9ddf,6a9e0f9891a7633d0090a3ea,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,275.7076,277.9735,0,2266,0.408854167,0.229166667,1,0,0,four_blue_stars,277.9737,278.9732,0,4,4,34,1,number,images/3blueStars.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},11,2026-09-06_22h14.06.095,Reading the Room,2026.1.3,Win32,59.88023952,66df3fb1714165680f1d4164,6a8d07dd262e1077153a9ddf,6a9e0f9891a7633d0090a3ea,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,278.974,281.7566,1,2783,0.408854167,0.229166667,1,0,0,four_blue_stars,281.7573,282.7565,0,5,5,51,1,number,images/4blueTriangles.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},11,2026-09-06_22h14.06.095,Reading the Room,2026.1.3,Win32,59.88023952,66df3fb1714165680f1d4164,6a8d07dd262e1077153a9ddf,6a9e0f9891a7633d0090a3ea,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,282.7571,285.2232,1,2466,-0.072916667,0.239583333,1,0,0,two_yellow_triangles,285.2233,286.223,0,6,6,30,1,number,images/2yellowStars.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},11,2026-09-06_22h14.06.095,Reading the Room,2026.1.3,Win32,59.88023952,66df3fb1714165680f1d4164,6a8d07dd262e1077153a9ddf,6a9e0f9891a7633d0090a3ea,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,64:128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},11,2026-09-06_22h14.06.095,Reading the Room,2026.1.3,Win32,59.88023952,66df3fb1714165680f1d4164,6a8d07dd262e1077153a9ddf,6a9e0f9891a7633d0090a3ea,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,286.2347,288.7563,0,2522,0.091145833,0.227864583,1,0,0,three_green_crosses,288.7568,289.7562,0,0,0,34,1,shape,images/3blueStars.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},11,2026-09-06_22h14.06.095,Reading the Room,2026.1.3,Win32,59.88023952,66df3fb1714165680f1d4164,6a8d07dd262e1077153a9ddf,6a9e0f9891a7633d0090a3ea,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,289.7568,292.0395,0,2283,-0.412760417,0.209635417,1,0,0,one_red_dot,292.0396,293.0394,0,1,1,43,1,shape,images/3redTriangles.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},11,2026-09-06_22h14.06.095,Reading the Room,2026.1.3,Win32,59.88023952,66df3fb1714165680f1d4164,6a8d07dd262e1077153a9ddf,6a9e0f9891a7633d0090a3ea,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,293.0401,295.5061,0,2466,0.372395833,0.251302083,1,0,0,four_blue_stars,295.5063,296.5058,0,2,2,56,1,shape,images/4redCrosses.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},11,2026-09-06_22h14.06.095,Reading the Room,2026.1.3,Win32,59.88023952,66df3fb1714165680f1d4164,6a8d07dd262e1077153a9ddf,6a9e0f9891a7633d0090a3ea,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,296.5065,299.039,0,2533,0.088541667,0.21875,1,0,0,three_green_crosses,299.0392,300.0389,0,3,3,55,1,shape,images/4greenTriangles.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},11,2026-09-06_22h14.06.095,Reading the Room,2026.1.3,Win32,59.88023952,66df3fb1714165680f1d4164,6a8d07dd262e1077153a9ddf,6a9e0f9891a7633d0090a3ea,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,300.0397,302.2556,1,2216,-0.114583333,0.21875,1,0,0,two_yellow_triangles,302.2563,303.2554,0,4,4,15,1,shape,images/1yellowTriangle.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},11,2026-09-06_22h14.06.095,Reading the Room,2026.1.3,Win32,59.88023952,66df3fb1714165680f1d4164,6a8d07dd262e1077153a9ddf,6a9e0f9891a7633d0090a3ea,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,303.2561,305.3385,1,2083,-0.338541667,0.217447917,1,0,0,one_red_dot,305.3387,306.3386,0,5,5,9,1,shape,images/1redDot.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
