Participant_Info_Consent.block_1/Consent,participant,session,date,expName,psychopyVersion,OS,frameRate,PROLIFIC_PID,STUDY_ID,SESSION_ID,dissent.started,dissent.stopped,Exclusion_Criteria_1.block_1/Mental_health_conditions,exclusion.started,exclusion.stopped,GroupAllocation.started,GroupAllocation.stopped,group,survey_demographics_IU.block_1/Sex,survey_demographics_IU.block_1/Age,survey_demographics_IU.block_1/Education,survey_demographics_IU.block_1/Ethnicity,survey_demographics_IU.block_1/Politics,survey_demographics_IU.block_1/IU_scale.q1,survey_demographics_IU.block_1/IU_scale.q2,survey_demographics_IU.block_1/IU_scale.q3,survey_demographics_IU.block_1/IU_scale.q4,survey_demographics_IU.block_1/IU_scale.q5,survey_demographics_IU.block_1/IU_scale.q6,survey_demographics_IU.block_1/IU_scale.q7,survey_demographics_IU.block_1/IU_scale.q8,survey_demographics_IU.block_1/IU_scale.q9,survey_demographics_IU.block_1/IU_scale.q10,survey_demographics_IU.block_1/IU_scale.q11,survey_demographics_IU.block_1/IU_scale.q12,Instructions.started,Instructions.stopped,Example.started,Example.stopped,Trials.started,Trials.stopped,Score,RT,response.x,response.y,response.leftButton,response.midButton,response.rightButton,response.clicked_name,Feedback.started,Feedback.stopped,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,rule,card,corrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,useRows,Scenarios.block_1/Expert Panel,Scenarios.block_1/Team Tension,Scenarios.block_1/Networking Gaffe,Scenarios.block_1/Viral Oversight,Scenarios.block_1/question16,ProgressBar.started,ProgressBar.stopped,feedback_14.started,feedback_14.stopped,press_spacebar.keys,press_spacebar.rt,press_spacebar.duration,show_feedback_low.thisRepN,show_feedback_low.thisTrialN,show_feedback_low.thisN,show_feedback_low.thisIndex,show_feedback_low.ran,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_1,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_2,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_3,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_4,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_5,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_6,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_7,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_8,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_9,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_10,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_11,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_12,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_13,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_14,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_15,ETMS_survey_end.block_1/Epistemic Trust Mistrust.ETMS_16,ETMS_survey_end.block_1/Epistemic Trust Mistrust.Row 17,ETMS_survey_end.block_1/Epistemic Trust Mistrust.Row 18,ETMS_survey_end.block_1/Feedback check.Q1,ETMS_survey_end.block_1/Feedback check.Q2,ETMS_survey_end.block_1/Feedback check.Q3,ETMS_survey_end.block_1/StudyPurpose,ETMS_survey_end.block_1/WereYouEvaluated,ETMS_survey_end.block_1/Feedback_interpretation,ETMS_survey_end.block_1/Suspicious,ETMS_survey_end.block_1/Disclosure,ETMS_survey_end.block_1/Data use,End.started,End.stopped
,{{PROLIFIC_ID}},1,2026-09-07_12h05.34.481,Reading the Room,2026.1.3,Win32,59.88023952,6a1377ffc76c0c884d951832,6a8d07dd262e1077153a9ddf,6a9dfd4d721bbfb75b2d857b,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,230.2657,232.5985,1,2333,0.388508381,0.289916135,1,0,0,four_blue_stars,232.5987,233.5986,0,2,2,51,1,number,images/4blueTriangles.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},1,2026-09-07_12h05.34.481,Reading the Room,2026.1.3,Win32,59.88023952,6a1377ffc76c0c884d951832,6a8d07dd262e1077153a9ddf,6a9dfd4d721bbfb75b2d857b,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,233.599,235.6033,1,2004,-0.31670696,0.222356123,1,0,0,one_red_dot,235.6034,236.5989,0,3,3,9,1,number,images/1redDot.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},1,2026-09-07_12h05.34.481,Reading the Room,2026.1.3,Win32,59.88023952,6a1377ffc76c0c884d951832,6a8d07dd262e1077153a9ddf,6a9dfd4d721bbfb75b2d857b,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,236.5997,239.9526,0,3353,0.084951229,0.225132575,1,0,0,three_green_crosses,239.9532,240.949,0,4,4,55,1,number,images/4greenTriangles.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},1,2026-09-07_12h05.34.481,Reading the Room,2026.1.3,Win32,59.88023952,6a1377ffc76c0c884d951832,6a8d07dd262e1077153a9ddf,6a9dfd4d721bbfb75b2d857b,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,240.9498,243.216,1,2266,-0.146418615,0.242716687,1,0,0,two_yellow_triangles,243.2166,244.2159,0,5,5,17,1,number,images/2blueDots.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},1,2026-09-07_12h05.34.481,Reading the Room,2026.1.3,Win32,59.88023952,6a1377ffc76c0c884d951832,6a8d07dd262e1077153a9ddf,6a9dfd4d721bbfb75b2d857b,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,244.2165,247.7661,0,3550,-0.171406589,0.237163831,1,0,0,two_yellow_triangles,247.7668,248.7661,0,6,6,14,1,number,images/1yellowStar.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},1,2026-09-07_12h05.34.481,Reading the Room,2026.1.3,Win32,59.88023952,6a1377ffc76c0c884d951832,6a8d07dd262e1077153a9ddf,6a9dfd4d721bbfb75b2d857b,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,64:128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},1,2026-09-07_12h05.34.481,Reading the Room,2026.1.3,Win32,59.88023952,6a1377ffc76c0c884d951832,6a8d07dd262e1077153a9ddf,6a9dfd4d721bbfb75b2d857b,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,248.7742,252.4331,1,3659,0.049783005,0.244567645,1,0,0,three_green_crosses,252.4342,253.4333,0,0,0,36,1,colour,images/3greenCrosses.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},1,2026-09-07_12h05.34.481,Reading the Room,2026.1.3,Win32,59.88023952,6a1377ffc76c0c884d951832,6a8d07dd262e1077153a9ddf,6a9dfd4d721bbfb75b2d857b,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,253.4339,256.4668,1,3033,0.376477141,0.263077268,1,0,0,four_blue_stars,256.4669,257.4666,0,1,1,49,1,colour,images/4blueDots.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},1,2026-09-07_12h05.34.481,Reading the Room,2026.1.3,Win32,59.88023952,6a1377ffc76c0c884d951832,6a8d07dd262e1077153a9ddf,6a9dfd4d721bbfb75b2d857b,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,257.4679,261.6331,0,4166,0.126597852,0.229759969,1,0,0,three_green_crosses,261.6338,262.6336,0,2,2,47,1,colour,images/3yellowTriangles.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},1,2026-09-07_12h05.34.481,Reading the Room,2026.1.3,Win32,59.88023952,6a1377ffc76c0c884d951832,6a8d07dd262e1077153a9ddf,6a9dfd4d721bbfb75b2d857b,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,262.6341,264.6503,1,2016,0.39128493,0.230685447,1,0,0,four_blue_stars,264.6514,265.6503,0,3,3,2,1,colour,images/1blueStar.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},1,2026-09-07_12h05.34.481,Reading the Room,2026.1.3,Win32,59.88023952,6a1377ffc76c0c884d951832,6a8d07dd262e1077153a9ddf,6a9dfd4d721bbfb75b2d857b,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,265.6507,268.6007,0,2950,-0.326887145,0.22420708,1,0,0,one_red_dot,268.6016,269.5869,0,4,4,4,1,colour,images/1greenCross.jpg,three_green_crosses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},1,2026-09-07_12h05.34.481,Reading the Room,2026.1.3,Win32,59.88023952,6a1377ffc76c0c884d951832,6a8d07dd262e1077153a9ddf,6a9dfd4d721bbfb75b2d857b,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,269.5873,272.2841,1,2697,0.363520601,0.239014772,1,0,0,four_blue_stars,272.285,273.2842,0,5,5,48,1,colour,images/4blueCrosses.jpg,four_blue_stars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},1,2026-09-07_12h05.34.481,Reading the Room,2026.1.3,Win32,59.88023952,6a1377ffc76c0c884d951832,6a8d07dd262e1077153a9ddf,6a9dfd4d721bbfb75b2d857b,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,273.285,275.6343,0,2349,0.119194023,0.208473958,1,0,0,three_green_crosses,275.6353,276.6342,0,6,6,63,1,colour,images/4yellowTriangles.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},1,2026-09-07_12h05.34.481,Reading the Room,2026.1.3,Win32,59.88023952,6a1377ffc76c0c884d951832,6a8d07dd262e1077153a9ddf,6a9dfd4d721bbfb75b2d857b,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,1,0:64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},1,2026-09-07_12h05.34.481,Reading the Room,2026.1.3,Win32,59.88023952,6a1377ffc76c0c884d951832,6a8d07dd262e1077153a9ddf,6a9dfd4d721bbfb75b2d857b,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,276.6423,278.6174,1,1975,-0.13808929,0.207548463,1,0,0,two_yellow_triangles,278.6181,279.6176,0,0,0,31,1,shape,images/2yellowTriangles.jpg,two_yellow_triangles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,{{PROLIFIC_ID}},1,2026-09-07_12h05.34.481,Reading the Room,2026.1.3,Win32,59.88023952,6a1377ffc76c0c884d951832,6a8d07dd262e1077153a9ddf,6a9dfd4d721bbfb75b2d857b,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,279.6181,282.4846,1,2867,-0.33521647,0.222356123,1,0,0,one_red_dot,282.4848,283.4876,0,1,1,25,1,shape,images/2redDots.jpg,one_red_dot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
