"","participant","consent","illness","group","age","sex","education","ethnicity","politics","prop_correct_WCST","mean_RT_WCST","median_RT_WCST","study_purpose","evaluated","interpretation","suspicious","disclosure","data_use","IU_scale.q1","IU_scale.q2","IU_scale.q3","IU_scale.q4","IU_scale.q5","IU_scale.q6","IU_scale.q7","IU_scale.q8","IU_scale.q9","IU_scale.q10","IU_scale.q11","IU_scale.q12","ETMS_1","ETMS_2","ETMS_3","ETMS_4","ETMS_5","ETMS_6","ETMS_7","ETMS_8","ETMS_9","ETMS_10","ETMS_11","ETMS_12","ETMS_13","ETMS_14","ETMS_15","ETMS_16","ETMS_17","ETMS_18","Q1","Q2","Q3"
"13","69f2ebab9cf068bfc6cf3fda","1","0","1","58","2","4","5","5","0.682539682539683","3642.09523809524","2833","People with different personality  how to react to different social situations","Yes. I was evaluated  for my performance","I don't really care and it doesn't bother me much","n/a","2","Item 1",2,1,2,1,0,1,2,1,1,1,1,1,1,4,5,5,4,5,5,3,3,2,2,6,0,5,4,5,3,4,4,3,3
"14","69f73386e1cc43e75539494f","1","0","2","21","2","3","11","5","0.682539682539683","3572.88888888889","3333","Gauging intelligence of people with a quiz then finding the avg. percentile for each user. Making the user aware of the percentile they were placed in and setting up a list of social perception questions to see if it has any negative or positive reaction to it.","Everyone's social perception is hard to compare and not a fair reason to be evaluated without knowing someone's background. However, the quiz can test intelligence.","Neutral. I made some mistakes during the quiz but it became pattern recognition when you try to remember the instructions.","I wanted to see if getting an error in the quiz would affect any outcome.","1","Item 1",2,3,2,3,1,2,4,3,2,2,1,2,3,6,5,3,5,6,5,4,2,1,7,6,5,5,3,2,4,3,4,3,4
"15","6a0565877e9012576988c07e","1","0","2","36","1","4","6","2","0.682539682539683","2702.11111111111","2229","Perception of yourself based on feedback from others","Not specifically","That I was an average performer","I am now based on the questions I am getting asked.","1","Item 1",0,2,1,0,4,4,2,0,0,1,0,0,2,6,4,1,5,4,4,3,3,3,3,2,2,5,2,2,4,3,2,2,2
"16","6a0643def96c580502e0624d","1","0","2","45","2","5","4","1","0.80952380952381","2666.07936507937","2298","The study is about your social intelligence and reading of situations.","Yes all of the study involves evaluation since that is the point of the study, I was being evaluated in the first part choosing the right pattern to identify then in the social situation scenarios and the choices presented.","I interpreted that I performed averagely and that I could have provided better more socially intelligent answers from the options provided.","Not really any point until this question. The point of asking this question could be to see if I was answering the previous questions based on the feedback provided on my performance or my interpretation that the feedback or other aspects were to give me a rating that I would react negatively to and disbelieve.","2","Item 1",1,2,2,1,2,1,2,0,0,1,0,0,5,6,3,1,6,6,5,3,2,1,5,3,2,7,2,2,2,2,2,2,2
"17","6a07924400b904af0e5f45cf","1","0","1","49","2","4","4","2","0.761904761904762","2448.47619047619","2146","A study about social interaction and ability to synthesise responses in a short timeframe.","Clearly the second portion evaluated you against some type of rigid metric.","Honestly I think it was exaggerated for effect.  Not that I might be average or slightly below average, that perhaps might fit depending on what was being tested, but 14th percentile I find extremely unlikely.","The 14th percentile result is ridiculous and based off the answers would have needed some responses to be the clear failure in reading the room.  Which I did not select in any case.","2","Item 1",1,2,2,0,0,0,1,2,1,0,0,1,2,4,4,1,4,5,3,2,2,2,5,3,4,5,5,3,2,4,6,2,6
"18","6a07d9e7902dfd92616b2406","1","0","1","13","1","5","3","5","0.555555555555556","4186.69841269841","3277","See how people read social cues","no not really","i think it is understandable","Nope","3","Item 1",3,3,4,2,4,3,3,2,2,2,3,3,5,4,4,3,4,6,3,3,3,2,3,5,4,7,2,2,4,4,0,0,6
"19","6a0e5c7412f8cf1025c8991a","1","0","2","29","1","4","6","3","0.793650793650794","4769.74603174603","2950","Testing peoples abilities to recognize trends that may be difficult to find. perception and views on social intelligence and how they may change depending on the situation.","Yes, all of it.","I think that it scored me lower than i deserved.","I did somewhat, because I know I recognized the trends in the first activities, with minimal errors due to mis-clicks. In addition, for the second task I felt fairly confident in my answers being the best, maybe one could have been second best but still would be a good score.","2","Item 1",2,3,1,0,1,0,0,1,2,1,2,0,1,6,6,7,6,4,5,3,5,4,3,6,5,6,3,3,3,5,2,5,2
"20","6a1377ffc76c0c884d951832","1","0","1","60","1","2","4","3","0.650793650793651","2781.63492063492","2444","I believe the study is about how we interpret situations according to people's personal values & how they observe & resolve situations. People analyse situations to the way the feel most comfortable.","Yes I did.","I was really surprised with my poor result. I feel that I an normally considerate of people and situations & have a lot of empathy for others - but may be I don't.","Yes I felt the feedback may have being a trick to make me answer the following questions differently or make me think harder on my thoughts. I'm dying to know the answer now!!","2","Item 1",0,1,0,0,0,0,1,0,0,0,0,0,5,6,2,4,6,6,4,2,1,3,6,4,5,7,4,4,2,2,1,4,1
"21","6a15eb7afd12c71392ef28ae","1","0","2","44","2","2","4","5","0.603174603174603","3193.39682539683","2613","Social awareness and how we are affected by social scenarios","Yes it felt like an evaluation in sorts.","not good or bad that there's room for improvement but negative in any way.","i felt the score of average 50% was a little low","2","Item 1",0,1,0,0,0,1,0,1,0,0,0,0,1,4,5,2,6,5,4,2,2,2,4,2,2,6,4,1,4,2,1,2,1
"22","66df3fb1714165680f1d4164","1","0","2","66","1","3","other","5","0.650793650793651","2453.63492063492","2366","How people read others","Yes I did. Evaluated by my answers","The  feedback lead to me think I don't read people well","That was a possibility since I feel I can read people quite well","1","Item 1",1,3,1,2,3,0,4,0,0,1,1,2,2,6,6,5,6,7,4,2,3,2,6,6,2,7,2,5,5,3,5,3,5
"23","6a22489f323f5943256679ed","1","0","2","46","1","5","10","6","0.587301587301587","4096.61904761905","3029","Our behaviour in social situations and how we judge other people's perspectives.","Yes I did.","I felt a bit low and judged as I thought that was my way of expressing myself in those social situations.","No","3","Item 2",1,4,3,3,3,3,4,3,2,3,1,2,5,2,6,4,6,5,6,3,5,4,5,5,4,6,2,3,5,6,5,6,4
